dataset,size,trial,structure,build_s,extract_s,comparisons,n,extract_ops
duplicate_heavy,10000,3,BinaryHeap,0.006041,0.001145,29160,10000,500
duplicate_heavy,10000,3,BinomialHeap,0.014571,0.002640,16631,10000,500
duplicate_heavy,10000,3,FibonacciHeap,0.059473,0.017823,28963,10000,500
sorted,2000,1,BinaryHeap,0.001395,0.001587,7368,2000,500
sorted,2000,1,BinomialHeap,0.005576,0.000831,4736,2000,500
sorted,2000,1,FibonacciHeap,0.001042,0.001141,5118,2000,500
sorted,2000,2,BinaryHeap,0.001876,0.001054,7368,2000,500
sorted,2000,2,BinomialHeap,0.002608,0.000831,4736,2000,500
sorted,2000,2,FibonacciHeap,0.001075,0.001134,5118,2000,500
sorted,2000,3,BinaryHeap,0.000760,0.000891,7368,2000,500
sorted,2000,3,BinomialHeap,0.002567,0.000839,4736,2000,500
sorted,2000,3,FibonacciHeap,0.010146,0.003490,5118,2000,500
sorted,5000,1,BinaryHeap,0.001847,0.001006,11090,5000,500
sorted,5000,1,BinomialHeap,0.008028,0.000831,7709,5000,500
sorted,5000,1,FibonacciHeap,0.002675,0.002744,12574,5000,500
sorted,5000,2,BinaryHeap,0.001939,0.000992,11090,5000,500
sorted,5000,2,BinomialHeap,0.007382,0.000827,7709,5000,500
sorted,5000,2,FibonacciHeap,0.005082,0.002592,12574,5000,500
sorted,5000,3,BinaryHeap,0.003594,0.001640,11090,5000,500
sorted,5000,3,BinomialHeap,0.006366,0.000801,7709,5000,500
sorted,5000,3,FibonacciHeap,0.002335,0.002566,12574,5000,500
sorted,10000,1,BinaryHeap,0.006853,0.001333,16602,10000,500
sorted,10000,1,BinomialHeap,0.012941,0.000990,13062,10000,500
sorted,10000,1,FibonacciHeap,0.006084,0.004901,25098,10000,500
sorted,10000,2,BinaryHeap,0.011453,0.001309,16602,10000,500
sorted,10000,2,BinomialHeap,0.014442,0.001250,13062,10000,500
sorted,10000,2,FibonacciHeap,0.007395,0.006565,25098,10000,500
sorted,10000,3,BinaryHeap,0.004111,0.001374,16602,10000,500
sorted,10000,3,BinomialHeap,0.013840,0.000894,13062,10000,500
sorted,10000,3,FibonacciHeap,0.007722,0.008152,25098,10000,500
skewed,2000,1,BinaryHeap,0.000844,0.000779,8023,2000,500
skewed,2000,1,BinomialHeap,0.002906,0.001172,5542,2000,500
skewed,2000,1,FibonacciHeap,0.002587,0.008099,20081,2000,500
skewed,2000,2,BinaryHeap,0.000956,0.000770,8023,2000,500
skewed,2000,2,BinomialHeap,0.002567,0.001164,5542,2000,500
skewed,2000,2,FibonacciHeap,0.002777,0.011156,20081,2000,500
skewed,2000,3,BinaryHeap,0.001532,0.001606,8023,2000,500
skewed,2000,3,BinomialHeap,0.003158,0.001788,5542,2000,500
skewed,2000,3,FibonacciHeap,0.006931,0.009238,20081,2000,500
skewed,5000,1,BinaryHeap,0.002142,0.001080,13435,5000,500
skewed,5000,1,BinomialHeap,0.009761,0.001866,8450,5000,500
skewed,5000,1,FibonacciHeap,0.002519,0.010192,31848,5000,500
skewed,5000,2,BinaryHeap,0.002461,0.000895,13435,5000,500
skewed,5000,2,BinomialHeap,0.006317,0.001326,8450,5000,500
skewed,5000,2,FibonacciHeap,0.006347,0.010040,31848,5000,500
skewed,5000,3,BinaryHeap,0.002858,0.001460,13435,5000,500
skewed,5000,3,BinomialHeap,0.006512,0.001182,8450,5000,500
skewed,5000,3,FibonacciHeap,0.002551,0.010669,31848,5000,500
skewed,10000,1,BinaryHeap,0.007654,0.000860,21044,10000,500
skewed,10000,1,BinomialHeap,0.012951,0.001080,13818,10000,500
skewed,10000,1,FibonacciHeap,0.005883,0.013049,46231,10000,500
skewed,10000,2,BinaryHeap,0.008352,0.001187,21044,10000,500
skewed,10000,2,BinomialHeap,0.013057,0.001267,13818,10000,500
