collisions,comparisons,delete_s,height,insert_s,load_factor,mem_peak_bytes,n,rotations,search_s,structure,traverse_s
0,79390,0.0029903000104241073,,0.0007039000047370791,,170480,10000,0,0.00418550000176765,DynamicArray,5.4800009820610285e-05
0,79390,0.011302600003546104,,0.0027926999900955707,,888880,50000,0,0.0038965999847278,DynamicArray,0.0004327000060584396
0,79390,0.022860400000354275,,0.005569799977820367,,1602096,100000,0,0.0039954000094439834,DynamicArray,0.0009305000130552799
0,599423,0.0006427000043913722,125,0.38948849998996593,,1048536,10000,0,0.000974299997324124,BST,0.0009128999954555184
0,12968085,0.0006578999746125191,550,9.685277400014456,,5244592,50000,0,0.000687899999320507,BST,0.005708400014555082
0,50935556,0.0006360000115819275,1069,37.02541299999575,,10401200,100000,0,0.00082970000221394,BST,0.013803600013488904
9900,1000,0.00021169998217374086,,0.0170399000053294,0.54931640625,171744,10000,0,0.00022170000011101365,HashTable,0.0007132000173442066
49900,1000,0.00026279999292455614,,0.0895547000109218,2.99072265625,866160,50000,0,0.00020559999393299222,HashTable,0.000905399996554479
99900,1000,0.0005674000130966306,,0.18878850000328384,6.04248046875,1657712,100000,0,0.0002778000198304653,HashTable,0.0011921999976038933
